sentence,label
Demonstranci zablokowali wejście do budynku.,PROTESTY
Naukowcy stworzyli szczepionkę mRNA.,NAUKA
Trzęsienie ziemi nawiedziło region.,KLĘSKA_ŻYWIOŁOWA
Szkoła zorganizowała konkurs dla uczniów.,EDUKACJA
Firma zatrudniła 500 nowych pracowników.,EKONOMIA
Pożar zniszczył warsztat samochodowy.,POŻAR
Uniwersytet otworzył bibliotekę cyfrową.,EDUKACJA
Park jest popularny wśród mieszkańców.,BRAK_ZDARZENIA
Na stole leży gazeta.,BRAK_ZDARZENIA
Gmina zmodernizowała plac miejski.,ADMINISTRACJA
Gwarancja nie obejmowała uszkodzenia.,PRAWO
Samorząd zainwestował w infrastrukturę.,ADMINISTRACJA
Adwokat wniósł apelację od wyroku.,PRAWO
Organizacja niesie pomoc powodzianom.,SPOŁECZEŃSTWO
Osuwisko ziemi zablokowało drogę.,KLĘSKA_ŻYWIOŁOWA
Firma wycofała wadliwy produkt.,EKONOMIA
Sieć społecznościowa zmieniła algorytm.,TECHNOLOGIA
Inwestor buduje centrum handlowe.,INFRASTRUKTURA
W kawiarni pachnie świeżą kawą.,BRAK_ZDARZENIA
Gang okradł bank w centrum miasta.,PRZESTĘPSTWO
Organizacja chroni dziką przyrodę.,EKOLOGIA
Chirurg przeszczepił nerkę choremu.,MEDYCYNA
Policja rozbiła gang narkotykowy.,BEZPIECZEŃSTWO
Organizacja charytatywna pomogła bezdomnym.,SPOŁECZEŃSTWO
Prokurator przesłuchał świadków.,PRAWO
Huragan zniszczył infrastrukturę.,KLĘSKA_ŻYWIOŁOWA
Sprawca uprowadził dziecko z przedszkola.,PRZESTĘPSTWO
Lekarz przeprowadził skomplikowaną operację.,MEDYCYNA
Powódź zniszczyła setki domów.,KLĘSKA_ŻYWIOŁOWA
Społeczność lokalna organizuje dożynki.,SPOŁECZEŃSTWO
Ogień rozprzestrzenił się na sąsiednie budynki.,POŻAR
Organizacja pozarządowa rozpoczęła kampanię.,SPOŁECZEŃSTWO
Prezydent rozpoczął wizytę w Niemczech.,POLITYKA
Fotograf wystawił swoje prace.,KULTURA
Prokuratura postawiła zarzuty podejrzanemu.,PRAWO
Wandal zniszczył monument w parku.,PRZESTĘPSTWO
Obywatele demonstrowali przeciwko ustawie.,PROTESTY
Dron dostarczył pierwszą przesyłkę.,TECHNOLOGIA
W sklepie jest klimatyzacja.,BRAK_ZDARZENIA
Wniosek został odrzucony.,ADMINISTRACJA
Protest studentów przeciw opłatom za studia.,PROTESTY
Sędzia oddalił pozew powoda.,PRAWO
Muzeum otworzyło nową ekspozycję.,KULTURA
Sąd nakazał zwrot nieruchomości.,PRAWO
Sejm odrzucił projekt ustawy opozycji.,POLITYKA
Park jest otwarty codziennie.,BRAK_ZDARZENIA
Płomienie objęły stację benzynową.,POŻAR
Miasto rozbudowuje kanalizację sanitarną.,INFRASTRUKTURA
Wiadukt został wyburzony.,INFRASTRUKTURA
Tsunami uderzyło w wybrzeże.,KLĘSKA_ŻYWIOŁOWA
Miasto wprowadza strefy czystego transportu.,EKOLOGIA
Rząd zapowiedział zmiany w podatkach.,POLITYKA
Samorząd dofinansował projekty lokalne.,ADMINISTRACJA
Ogień wybuchł w garażu podziemnym.,POŻAR
Karambol na autostradzie zablokował ruch.,WYPADEK
Szkoła rozpoczęła nowy rok szkolny.,EDUKACJA
Technologiczny gigant wydał nowy produkt.,TECHNOLOGIA
Wojsko rozpoczęło manewry wojskowe.,BEZPIECZEŃSTWO
Naukowcy stworzyli chip kwantowy.,TECHNOLOGIA
Akcje spółki technologicznej spadły.,EKONOMIA
Społeczność lokalna zorganizowała festyn.,SPOŁECZEŃSTWO
Siatkarz został wybrany MVP rozgrywek.,SPORT
Konsument złożył reklamację.,PRAWO
Ogień strawił stodołę z ziarnem.,POŻAR
Władze otwierają węzeł komunikacyjny.,INFRASTRUKTURA
Lekarka rozpoznała rzadką chorobę.,MEDYCYNA
Chirurg naprawił uszkodzony narząd.,MEDYCYNA
Bank wprowadził nowe opłaty za usługi.,EKONOMIA
Uczeni zidentyfikowali nowy gen.,NAUKA
Wolontariusze zorganizowali zbiórkę darów.,SPOŁECZEŃSTWO
Startup rozwija platformę IoT.,TECHNOLOGIA
Most został otwarty dla ruchu.,INFRASTRUKTURA
Sprzedawca oszukał kupującego.,PRZESTĘPSTWO
Teatr zorganizował warsztaty dla dzieci.,KULTURA
Szpital przyjął pacjentów po wypadku.,MEDYCYNA
Koncern wprowadził nowy system operacyjny.,TECHNOLOGIA
